team,year,region,seed,play-in,rd_1,rd_2,rd_3,rd_4,rd_5,rd_6,TPPG,TPPG_last3,FGPG,FGPG_last3,FTAPG,FTAPG_last3,FTMPP,FTMPP_last3,ORP,ORP_last3,ORPG,ORPG_last3,DRP,DRP_last3,DRPG,DRPG_last3,APG,APG_last3,FPG,FPG_last3,ASM,ASM_last3,ATR,ATR_last3,OE,OE_last3,DE,DE_last3
U Penn,2003,east,11,NA,0,0,0,0,0,0,9,7.7,24,25.7,18.7,17,20.128,15.599,0.296,0.253,8.3,7,0.743,0.729,22.6,20.7,14.9,15,17.8,17.7,10.8,16,1.156,1.5,1.071,1.108,0.907,0.85
Butler,2003,east,12,NA,1,1,0,0,0,0,8.5,7,24.1,22.7,16.6,16,19.323,14.954,0.262,0.193,6.8,5.3,0.677,0.718,18.6,20.3,13,11,16.1,16,7.7,-4,1.262,0.825,1.108,0.959,0.984,1.021
Austin Peay,2003,east,13,NA,0,0,0,0,0,0,6,6.3,23.6,23.3,24,25,23.956,23.287,0.298,0.27,8.9,9,0.687,0.7,22.6,23.3,13.4,13,18.7,16.7,2,4,0.889,1.444,1.006,1.038,0.977,0.977
Manhattan,2003,east,14,NA,0,0,0,0,0,0,5.5,5,25.9,24.3,23.9,25.3,25.618,25.527,0.313,0.286,9.8,10,0.676,0.63,21.7,22.7,13.9,15,21.9,22.7,8.4,9,0.99,0.978,1.036,0.952,0.922,0.835
E Tenn St,2003,east,15,NA,0,0,0,0,0,0,5.2,6,28.1,29,24.8,21.7,23.146,21.188,0.365,0.386,12.2,13,0.653,0.644,22.9,25.3,14,14.7,19.5,19.3,2.2,7,0.756,0.863,1.006,1.042,0.978,0.951
S Car State,2003,east,16,NA,0,0,0,0,0,0,5,2.7,23.9,22.7,24.9,34.3,24.43,33.678,0.369,0.366,11.2,11.3,0.642,0.713,21.6,27.3,9.8,11,19.5,22,1.8,4.3,0.533,0.589,1.019,0.983,0.995,0.925
Kentucky,2003,midwest,1,NA,1,1,1,0,0,0,6,7,28.7,29,20.7,17.3,20.675,15.511,0.388,0.315,11.9,9.7,0.704,0.765,22.1,25,16.3,14.3,17.4,17,13.6,13.3,1.177,1,1.101,1.072,0.908,0.884
Pittsburgh,2003,midwest,2,NA,1,1,0,0,0,0,6.4,6.7,26.9,24,22.8,18,20.873,19.976,0.359,0.417,10,11.7,0.738,0.685,23.3,20.3,17.8,14.7,18,17.7,15.8,13,1.198,1.333,1.074,1.062,0.847,0.857
Marquette,2003,midwest,3,NA,1,1,1,1,0,0,5.5,4.7,26.1,25.3,22.8,29.3,26.566,33.753,0.399,0.467,10.9,11.7,0.665,0.771,21.7,21.3,15.8,17.7,18.1,19,10.7,4.3,1.235,0.828,1.178,1.098,1.017,1.04
Dayton,2003,midwest,4,NA,0,0,0,0,0,0,7.5,8.7,24.5,26.3,22.8,21.3,24.734,23.015,0.398,0.467,12.2,16.3,0.667,0.694,22.4,22.7,15.2,18,17.6,18.3,6.5,9,1.176,1.35,1.104,1.171,1.006,1.033
Wisconsin,2003,midwest,5,NA,1,1,0,0,0,0,6.2,8.7,25,19,19.4,17.3,22.396,21.765,0.312,0.273,9.2,7,0.75,0.831,21.3,19.7,13.3,11.7,14.8,13.3,12,0.3,1.274,1,1.099,0.999,0.912,0.993
Missouri,2003,midwest,6,NA,1,0,0,0,0,0,7.4,4.3,25.5,15.7,18.1,12,17.601,17.104,0.365,0.297,12.1,6.3,0.676,0.675,23.3,17.3,13.5,6.7,16.5,10.7,5.5,5.3,1.036,0.714,1.071,1.472,0.989,1.353
Indiana,2003,midwest,7,NA,1,0,0,0,0,0,7.5,6.3,23.4,21.7,22.6,28.7,23.809,32.978,0.305,0.277,9.8,7.7,0.71,0.774,24.3,21.7,13.8,15,18.1,18,3.5,11.3,1.231,1.731,1.041,1.11,0.989,0.932
